input_text,target_text
"piso de 64 m² en Fenals con 2 habitaciones, 1 baños, terraza"," Bajo de 2 habitaciones dobles en venta a tan solo 5 minutos de Lloret de Mar. Este encantador piso ha sido completamente remodelado y acondicionado, con instalaciones de agua y luz nuevas. Dispone de 2 habitaciones dobles, una cocina independiente y un baño moderno totalmente renovado. La orientación suroeste ofrece una excelente iluminación natural durante todo el día, llenando la vivienda de sol. Además, cuenta con 2 terrazas, perfectas para disfrutar del buen tiempo, y un parking comunitario para tu comodidad. Características: - 2 habitaciones dobles - Cocina independiente - Baño remodelado - Instalación de agua y luz nueva - Orientación suroeste - 2 terrazas - Parking comunitario Ubicación: Fenals, a solo 5 minutos de Lloret de Mar, en una zona tranquila pero cerca de todos los servicios y la playa. ¡No pierdas esta oportunidad de vivir en una de las zonas más deseadas de la Costa Brava! Contáctanos para más información y concertar una visita. En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del CODIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en CATALUÑA se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación (ITP ó IVA + AJD ) y otros gastos inherentes a la compraventa no están incluidos en el precio. "
"casa de 179 m² en Roca Grossa con 6 habitaciones, 4 baños"," La casa fue construida en el año 1997, 179m2 construidos, en 3 plantas, materiales de calidad, dispone de 2 terrazas con vistas al mar y un terreno de 965m2. La casa se divide en un bonito recibidor, salón comedor con salida a terraza con vistas al mar, cocina abierta totalmente equipada, y un aseo. En la planta baja dispone de 3 dormitorios dobles y un baño equipado con bañera, 2 dormitorios disponen de vestidor amplio, dispone también de una habitación con espacio aislado con ventanales y vistas al mar que podría ser una habitación más, despacho etc.. . La vivienda dispone de un garaje cerrado y parking abierto. La casa está equipada con aire acondicionado con bomba de calor y frío, aerotermia, suelos radiantes por calefacción, y suelo de mármol, ventanas de cristal doble con cámara de aire. Accediendo a la piscina hay una vivienda separada, salón, cocina abierta totalmente equipada, y 2 habitaciones suite con baños equipados con platos de ducha. Terreno de 965m2 con vistas al mar y montaña, dispone de zona de chill-out y estanque para peces. Se encuentra a 5 minutos del parque acuático Water World 20m del aeropuerto de Girona 80km de Barcelona y a 101 km de la frontera con Francia. Lloret de Mar es famosa por sus magníficas playas y calas. Clima mediterráneo litoral con temperaturas suaves. El Mediterráneo es un mar cálido todo el año. Se encuentra entre mar y montaña. "
"casa de 225 m² en Canyelles con 7 habitaciones, 3 baños, terraza, garaje, jardin, piscina"," Inversión! Licencia turística! Gran casa en Cala Canyelles con 2 entradas independientes, 2 cocinas y 2 comedores. La superficie total de la casa es de 225 m² y del solar unos 430 m² m2. En la planta de abajo hay una cocina, lavadero, 3 dormitorios y 1 baño. En la planta de arriba hay un amplio comedor con una gran terraza con vista montaña, 4 dormitorios y 2 baños. En el garaje están instaladas las duchas y hay una bodega. En el patio de la planta de arriba hay una barbacoa con acceso desde las dos plantas. Armarios, muebles, vidrios dobles, chimenea, orientación sur, soleado. Ideal para alquilar y tambien para vivir todo el año Lloret de mar es un bonito pueblo con varias magnificas playas y muchas zonas de ocios y comercios. Cuidad ideal para aprovechar de las vacaciones entre amigos o con la familia! Situado a solamente 45 min de Barcelona, 20 min de aeropuerto de Girona y una hora de Francia. Ideal para descansar y desconectar de la rutina… En cumplimiento de la ley 3/2017 del 15 de febrero de 2017 de 15 de febrero, del libro sexto del Código Civil de Cataluña, relativo a las obligaciones y los contratos, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación y otros gastos inherentes a la compraventa no están incluidos en el precio. Los gastos notariales, registrales e impuestos que le sean de aplicación y otros gastos inherentes a la compraventa no están incluidos en el precio. "
"casa de 380 m² en Montgoda con 4 habitaciones, 5 baños, piscina, aire acondicionado"," Fabulosa villa a unos 200m de la playa, construida en una parcela de 1.215m2 con un fantástico diseño en primera línea de la Montgoda, una privilegiada urbanización, situada muy cerca del pueblo de Lloret de Mar. La superficie total de la casa es de 362,74m2 de los cuales 270,29m2 (4 suites) son útiles. Piscina desbordante con iluminación. Jardín con plantas maduras (palmeras, cipreses, césped verde), riego automático e iluminación. Techos altos, habitaciones amplias, calefacción por suelo radiante, sistema de alarma. Vivienda cuenta con una licencia de alquiler turístico. Esta propiedad, con una ubicación excepcional y perfectamente orientada a la puesta del sol goza de unas magnificas vistas desde casi todos sus rincones. Se trata de uno de los destinos favoritos de veraneo a nivel internacional. Con sus ocho playas, Lloret de Mar cuenta con todos los servicios, y una amplia oferta gastronómica y de ocio, tanto de día como de noche. En su casco urbano, las tiendas más exclusivas y los locales más reconocidos de la Costa Brava, pero sin renunciar a la vida pausada de sus áreas residenciales de la periferia. En Barcelona & Costa Brava Sotheby’s International Realty somos especialistas en la venta de inmuebles en Lloret de Mar: modernas casas con vistas al mar y preciosos jardines con piscina privada o exclusivos apartamentos en primera línea de playa. "
"casa de 296 m² en Comptat de Jaruco con 5 habitaciones, 4 baños, terraza, garaje, jardin, piscina, aire acondicionado"," ¡Descubre la joya de la tranquilidad en esta impresionante masía independiente! Situada en un entorno de paz y privacidad, esta casa es el refugio perfecto para quienes buscan un hogar acogedor y lleno de encanto, La casa que buscabas acabas de encontrarla, donde tú y tu familia viviréis momentos inolvidables, con un precioso jardín, pérgola con zona de barbacoa, jardines amplios y una piscina con agua desbordante rodeada por tarima de madera y zona de césped artificial. Mucha luz propia y muy soleada. La casa construida en el año 1989, está en perfecto estado de conservación y mantenimiento, con calefacción de gasoil con depósito de capacidad 1.500 lts, aire acondicionado en el salón y en la habitación principal., Todo exterior. El acceso a la casa es de dos opciones, entrada a pie de calle y con acceso rodado por la parte trasera de lacas mediante calle privada directa al garaje de la casa. distribución: En Planta – 1: consta de, Patio y jardín, garaje, cuarto trastero, cuarto caldera y Acumulador de agua, Lavadero, Baño. En planta 0: Consta de salón comedor (a dos niveles) de 45m2, chimenea perfecta para quienes buscan la autenticidad de un fuego tradicional. una gran cocina de 16m2 para disfrutar de la tranquilidad en la cocina, de estar frente a los fuegos con una copa de vino, Deja que la magia, y lo que no es magia, se quede tras las puertas. Una pequeña sala de estudio, una habitación doble con armario empotrado y un cuarto de baño completo con bañera. En planta 1: Consta de tres habitaciones dobles, un baño independiente, una terraza muy soleada con vistas a la piscina desbordante y al jardín.Una habitación tipo Suite con aire acondicionado y baño completo.  características: calefacción de Gasoil, suelos de parquet en habitaciones y pasillos, Armarios empotrados en las habitaciones, Techos de madera en techo comedor. Sistema de alarma, Cuarto maquinaria de la piscina, carpintería de Roble. Superficie construida según catastro 216m2, superficie de la parcela según catastro 727m2. Gastos de IBI: 1.141.-€ anuales. Alcantarillado: 39,10.-€ anuales Comunidad: 460.-€ anuales (incluye recogida de basura selectiva. Seguridad Privada de la urbanización. QUE NO TE CONFUNDAN, IMMOBLANES SÓLO HAY UNA” DOS PUNTOS DE SERVICIO A TU DISPOSICION EN BLANES. NOS ENCONTRARAS EN CARRER ROIG I JALPI N. º 12 (AL LADO DE PLAZA ESPANYA) Y EN CALLE CRISTOFOR COLOM Nº 2 (ELS PINS) ” IMMOBLANES, NADA QUE VER CON TODO LO DEMÁS”. En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del CODIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa o alquiler de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación (ITP o IVA + AJD) y otros gastos inherentes a la compraventa no están incluidos en el precio.Y. "
"piso de 141 m² en Fenals con 4 habitaciones, 3 baños, ascensor, piscina, aire acondicionado"," Presentamos este magnífico piso en venta en la zona de Fenals. Tiene una superficie construida de 141 m2 distribuidos en un amplio salón comedor con salida a una terraza con porche, una cocina independiente con despensa, lavandería y un aseo. La zona de noche dispone de tres habitaciones dobles; una de ella en suite con un baño con ducha y salida a un balcón, una habitación individual y un baño con ducha. La carpintería exterior es de aluminio con los interiores en madera, suelos de gres, bomba de calor y frío y armarios empotrados. La propiedad dispone de zona comunitaria con piscina, jardín y vistas al mar. Su ubicación es excelente, es una zona residencial tranquila bien comunicada. Se encuentra cerca de los principales servicios, comercios y a tan sólo 5 min a pie de la playa. "
"casa de 337 m² en Urbanitzacions con 4 habitaciones, 3 baños, terraza, garaje, jardin, piscina, aire acondicionado"," Nueva promoción de vivienda unifamiliar situada en la urbanización els Pinars de Lloret de Mar a tan solo 3 km del mar con acabados interiores de alta calidad, y con vistas al mar. La vivienda está formada por 3 plantas más planta cubierta destinada a solárium donde se encuentra la piscina, la distribución de la vivienda es la siguiente: - Planta sótano: garaje útil de 129,37m2, habitación para equipos de climatización/calefacción/ACS de 5,57m2 y 5,57m2 para trastero - Planta baja: habitación (3) suite de matrimonio con su propio baño de 22,14m2+ baño(3) de 5,58m2, habitación doble (2) de 12,76m2, habitación doble (1) de 12,76m2, baño (1-2) de 7,60m2 - Planta primera: habitación doble (4) suite con su propio baño de 12,81m2, salón con chimenea +cocina con isla de 45,88m2, baño (4) de 6,21m2 y lavandería de 5,55m2. -Planta cubierta: Solárium con vistas al mar 61,64m2 Esta vivienda se ha diseñado para disfrutar del máximo confort y maximizar el ahorro energético, en este sentido la vivienda dispone de sistema de aislamiento térmico exterior (SATE) que le confiere al inmueble una eficiencia energética elevada y con acristalamiento y carpintería exterior de gran calidad, también se ha tenido una especial atención con la accesibilidad para persona con movilidad reducida pudiendo estas desplazarse por cualquier punto de la casa.  Instalaciones de la vivienda: - Climatización: La vivienda esta dotada de un sistema de calefacción/refrigeración y ACS mediante equipo de aerotermia de alto rendimiento y de gran eficiencia energética, la calefacción se distribuye por las diferentes plantas mediante suelo radiante y la refrigeración o aire condicionado mediante fan-coils individuales de aire para cada sala o habitación de la vivienda instalados en falso techo. - ACS+ACS solar: La vivienda disponen de sistema de ACS (agua caliente sanitaria) mediante aporte por el sistema de aerotermia 200Lts y también dispone de sistema de producción solar 160Lts para optimizar el ahorro energético. - Iluminación: Toda la vivienda disponen de equipos de iluminación con tecnología LED  - Domótica: La vivienda dispone de un sistema integrado de control automatizado para diferentes funciones, control de persianas exteriores, control de acceso video portero, control de riego, control encendido piscina, control encendido iluminación interior y exterior, control de sistema de climatización, control de producción ACS, todo este sistema también se puede utilizar mediante APP móvil. - Fotovoltaica: La vivienda esta equipada con pre-instalación para poder instalar hasta 14 paneles solares, aproximadamente unos 6kW de potencia eléctrica y con espacios para poder albergar el inversor solar y la batería de acumulación así como el cargador eléctrico para su vehículo.  - Ascensor: Equipo Ascensor con capacidad para 6 personas, apto para persona con movilidad reducida - Piscina: Piscina con sistema de cloración salina e iluminación LED. - Cocina: Cocina de diseño formada por electrodomésticos con clasificación A+ integrados en los muebles y con isla para fregadero y cocción. No pierda esta oportunidad única de adquirir una casa con toda las comodidades y con un bajo coste de consumo energético. [IW]. "
"casa de 113 m² en Lloret Blau - La Creu de Lloret con 3 habitaciones, 2 baños, garaje, aire acondicionado"," Oportunidad única en Lloret Blau Te presentamos este acogedor chalet en la urbanización de Lloret Blau, un lugar que fusiona la calma natural con la cercanía a las animadas playas y servicios de Lloret de Mar. En el exterior, disfrutarás de un amplio terreno donde podrás dar rienda suelta a tu imaginación: desde construir una piscina  hasta organizar cenas alrededor de barbacoa o diseñar el jardín de tus sueños. Además, dispondrás de un garaje privado, lo que te brindará mayor comodidad y seguridad. La casa esta en muy buen estado, lista para entrar a vivir. Tiene amplio salón soleado con cocina, 2 baños reformados y 3 dormitorios, para uso de todos los miembros de la familia.   Situado a menos de 5 kilómetros del centro de Lloret de Mar, este chalet ofrece la mezcla perfecta entre privacidad y fácil acceso. Rodeado de la belleza de la vegetación mediterránea, podrás disfrutar de un entorno natural incomparable, con la tranquilidad de vivir en una urbanización bien conectada. Si buscas algo más que una casa, sino un hogar donde crear recuerdos especiales, no dejes pasar esta oportunidad. Contáctanos y ven a verlo en persona. "
"piso de 69 m² en Fenals con 2 habitaciones, 1 baños, terraza, ascensor, piscina, aire acondicionado"," Te presentamos este acogedor y soleado apartamento de 2 dormitorios, ideal tanto como inversión como primera vivienda. Situado en la codiciada zona de Fenals, a tan solo 350 metros de la playa, disfrutarás de la tranquilidad y el confort de vivir cerca de todos los servicios. Características principales: Superficie: 69 m² construidos Terraza: 8 m² orientada al este, perfecta para disfrutar del sol de la mañana. Dormitorios: 1 habitación doble y 1 habitación sencilla. Baño: 1 baño completo. Estado: Propiedad en buen estado, lista para entrar a vivir. Cocina: Totalmente equipada. Carpintería: Interior lacado blanco y exterior de aluminio. Suelo: Baldosa. Extras y comodidades: Aire acondicionado Alarma Armarios empotrados Ascensor Acceso para personas con movilidad reducida Jardín y piscina comunitaria Fibra óptica Zonas infantiles y parques cercanos Proximidad a autobuses, colegios, supermercados y más. Gastos: Comunidad: 75 €/mes Basura: 186 €/año IBI: 315 €/año Este apartamento es una excelente oportunidad para disfrutar de la vida costera con todas las comodidades a tu alcance. No pierdas la oportunidad de visitarlo y descubrir todo lo que puede ofrecerte. ¡Contacta ahora y agenda tu visita! "
"casa de 324 m² en Canyelles con 4 habitaciones, 2 baños, terraza, garaje, jardin, piscina"," Magnifica casa para entrar a vivir. Esta bonita vivienda consta de 324 m2 construidos sobre una parcela de 763 m2. Dividida en dos plantas con dos entradas independientes. En la primera planta encontramos tres dormitorios, dos dobles uno de ellos con salida al balcón y uno individual, baño completo con bañera y con plato de ducha, cocina independiente y luminoso salón comedor con chimenea. En la segunda planta encontramos un estudio independiente, con baño completo con plato de ducha y una terraza con vistas al mar. En el jardín se puede disfrutar de la piscina y de la zona barbacoa. La ubicación es perfecta, a 10 minutos del centro y a 5 de la playa. ¡ES UNA ESPECTACULAR OPORTUNIDAD! ¡PREGUNTANOS SIN COMPROMISO Y TE INFORMAMOS! "
