id,url,titulo,tipo,precio,metros,habitaciones,zona,calle,latitud,longitud,fecha_publicacion,descripcion,ocupado,habitable,anunciante,baños,año_construccion,terraza,balcon,garaje,ascensor,reforma,jardin,piscina,aire_acondicionado
107955160,https://www.idealista.com/inmueble/107955160/,Piso en venta en calle Jacint Verdaguer,piso,141400,106,2,Semicentre,carrer jacint verdaguer,41.682506,2.7806691,17-04-2025," Piso de 106 m² n venta situado en Blanes, Girona. Se trata de un piso de 106 m² distribuidos en salón-comedor, cocina, 2 dormitorios y 1 baño. La vivienda se sitúa en núcleo urbano de Blanes, teniendo buenos accesos por carreteras principales mediante la GI-682 y dispone de varias paradas de autobús correspondientes a las líneas L2, L6 y L-69. En la población podemos encontrar servicios como supermercados, alojamientos, restaurantes, instalaciones deportivas, centros educativos, oficinas bancarias, y otros negocios comerciales. Además se encuentra próximo de las playas de S´Abanell y de Blanes Con nuestros servicios podrá encontrar el piso que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. ",False,True,Solvia HR,1,0,False,False,False,False,False,False,False,False
106915406,https://www.idealista.com/inmueble/106915406/,Piso en venta en calle de Sant Vicenç Ferrer,piso,159600,104,3,Els Pavos,carrer de sant vicenç ferrer,41.6723455,2.7792983,08-04-2025," Vivienda situada en un edificio de ocho alturas sobre rasante, ubicado en la calle Sant Vicenc Ferrer, en la localidad de Blanes, en la provincia de Girona. El edificio dispone de ascensor. La vivienda tiene una superficie construida de 104.14m2 y una superficie útil de 98.4 m2 y está distribuida en un amplio hall de entrada, que da acceso a una cocina equipada independiente muy luminosa exterior y amueblada, y un pasillo que distribuye a un gran salón comedor con salida a una terraza exterior, tres dormitorios siendo todas ellas habitación doble, y dos cuartos de baño completo con bañera. La vivienda dispone de carpintería exterior de aluminio con acristalamiento sencillo, carpintería interior de madera principalmente de sapeli, su puerta de acceso es normal blindada, disponiendo de calefacción de gas natural pero no de aire acondicionado. Los suelos de las estancias son de gres cerámico, y la pintura es monocapa, plástica lisa, en todas las estancias. En la vivienda es necesario realizar una reforma para adecuarlo a unas condiciones de habitabilidad óptimas. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodea al municipio y lo comunican con el resto de la provincia. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de conservación actual, ni su situación ocupacional, arrendaticia, de servicios y de suministros. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá: (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l: (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) responsabilidad alguna en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la for. ",False,True,Solvia SE,2,0,False,False,False,True,False,False,False,False
103711442,https://www.idealista.com/inmueble/103711442/,Piso en venta en La Plantera,piso,125000,53,1,La Plantera,carrer béjar,41.6683937,2.775473,20-03-2025," Bonito apartamento en perfecto estado en el barrio de La Plantera de Blanes. Este piso esta construido con una superficie de 51m2 útiles repartidos de la siguiente manera; amplia habitación de matrimonio exterior, salón comedor en perfecto estado con cocina americana completamente equipada y baño completo con bañera. El piso está en perfecto estado de conservación, sin necesidad de hacer ninguna reforma. En el mismo edificio tenemos un amplio local de 55m2 muy amplio con facil acceso de puerta automática con capacidad para resguardar dos coches, motos y mas espacio de almacenaje. CONROMA es una empresa innovadora con un ambiente familiar muy competitivo, que cuenta con más 20 años de experiencia en el sector inmobiliario. Nuestro equipo de agentes proporciona un asesoramiento profesional y personalizado a fin de obtener los mejores resultados. Con una inversión permanente en tecnología, nos colocamos entre las inmobiliarias más eficientes de la zona, ya que nos volcamos en todos los pasos del proceso de comercialización, control y conocimiento del perfil de nuestros clientes, ofreciendo eficacia, flexibilidad y creatividad. En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del Código civil de Cataluña, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en Cataluña, informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación (ITP o IVA +AJD) y otros gastos inherentes a la compraventa no están incluidos en el precio. ",False,True,CONROMA ASESORES SL,1,1992,False,False,True,True,False,False,False,False
106323088,https://www.idealista.com/inmueble/106323088/,Piso en venta en Centre,piso,160000,78,3,Centre,carrer ample,41.6745469,2.7919581,15-04-2025," piso situado al lado de Correos Blanes, en pleno centro, edificio antiguo sin ascensor, pero con muy pocos vecinos, piso con salon comedor y salida a balcon, cocina independiente, 3 habitaciones amplias, baño con plato ducha, calefaccion de gas, ventanas de aluminio, muy buen estado de conservación,  En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del CODIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación ( ITP ó IVA + AJD ) y otros gastos inherentes a la compraventa no están incluidos en el precio [IW]. ",False,True,FINGEST BLANES,1,1942,False,False,False,False,False,False,False,False
96855348,https://www.idealista.com/inmueble/96855348/,Casa o chalet en venta en calle de la Surera,casa,525000,350,5,Urbanitzacions,carrer de la surera,,,22-04-2025," Blanes Urbanizacion Vistamar. Impresionantes vistas a mar y montaña, Vivienda consta de dos plantas, la plata baja consta de habitacion, aseo, lavadero, hall de entrada y sala grande diafana con salida a piscina, la planta alta con acceso por escaleras interiores desde el hall de entrada cuenta con distribuidor, cocina equipada, tres domitorios y dos baños, uno en suitte, salon comedor con salida a terraza, desde todas las habitaciones de la parte frontal se puede disfrutar de vistas a la costa de Blanes. Garaje para dos coches a nivel de calle, terreno en bancales ascendentes planos con piscina. Nuestro mayor valor es la confianza que depositan nuestros clientes en nosotros y nuestra mayor misión: su satisfacción. En cumplimiento de la ley 32917 del 13 de febrero de 2018 del CODIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación ( ITP ó IVA AJD ) y otros gastos inherentes a la compraventa no están incluidos en el precio. ",False,True,Blanes House,3,2012,True,False,True,False,False,True,True,False
107360097,https://www.idealista.com/inmueble/107360097/,Piso en venta en Semicentre,piso,95000,100,3,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,18-02-2025," ¡Oportunidad única en Blanes! Descubre este encantador piso en planta baja, ideal para quienes buscan personalizar su hogar. Situado en una zona semicéntrica, este inmueble de 100 m² construidos y 70 m² útiles ofrece un espacio amplio con 3 dormitorios y un luminoso comedor. Aunque necesita reformas en la cocina y el baño, su habitabilidad inmediata te permitirá mudarte sin esperar. Además, cuenta con un pequeño patio perfecto para disfrutar del aire libre. La ubicación es inmejorable: a un paso de supermercados y con fácil acceso al transporte público gracias a su proximidad a la parada de bus. Con orientación este-oeste, disfrutarás de luz natural durante todo el día. Aunque no dispone de calefacción, su diseño exterior y la presencia de un ascensor añaden comodidad y accesibilidad. No dejes pasar esta oportunidad de crear el hogar de tus sueños en una ubicación privilegiada. ¡Ven a visitarlo y descubre todo su potencial! ",False,True,MY HABITAT CONFORT,1,0,True,False,False,False,True,False,False,False
105403775,https://www.idealista.com/inmueble/105403775/,Piso en venta en Semicentre,piso,105000,88,3,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,02-04-2025," Piso en venta ubicado en CALLE DE LA MERCE, BLANES, Girona. Dispone de una superficie de 88 m2 3 habitaciones  Oportunidad de inversión: inmueble ocupado. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble. ",True,True,Aliseda inmobiliaria,1,0,False,False,False,False,False,False,False,False
38758293,https://www.idealista.com/inmueble/38758293/,Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,casa,979400,380,4,Cala Sant Francesc - Santa Cristina,carrer de la cala,41.6805748,2.8062159,24-02-2025," Chalet con increíbles vistas al mar situada en una calle privada de la urbanización de la Cala Sant Francesc. Una de las zonas más privilegiadas de Blanes. Esta finca dispone de zona privada y comunitaria. La zona comunitaria consta de piscina, jardín comunitario, zona deportiva, ascensor y vigilancia las 24 horas. Dispone de unas vistas espectaculares a la Cala Sant Francesc y parte de la Costa Brava. Todas las dependencias son exteriores, lo cual no se necesita la luz artificial hasta la noche. Construida en una parcela de fácil acceso con una superficie de 1.132m2, de los cuales 344m2 son construidos. Casa unifamiliar a cuatro vientos totalmente, distribuida en cuatro plantas. A pie de calle encontramos la planta baja, que es un garaje doble de 34m2, donde caben dos coches y una moto. En su interior hay un ascensor que comunica con las tres plantas. En la primera planta podemos encontrar un apartamento de 80m2, ideal para invitados ya que es totalmente independiente de la vivienda principal. Compuesto por un salón comedor con cocina americana y un baño completo con plato de ducha. Bien por el ascensor interior o escaleras exteriores accederemos a la segunda planta donde encontramos una gran terraza con unas increíbles vistas al mar, tiene la posibilidad de construir un cerramiento de la terraza. La tercera planta sería la vivienda principal, donde encontramos un salón comedor con salida a una gran terraza con preciosas e inmejorables vistas a la cala. Junto al salón tenemos una amplia cocina independiente con salida a una terraza exterior con barbacoa. La zona de los dormitorios está compuesta por tres habitaciones dobles, una de ellas tipo suite con bañera. Y un baño completo con plato de ducha Todas las habitaciones tienen armarios empotrados y acceso a una terraza con vistas al mar. Unas escaleras exteriores llevan a la zona de la piscina con terraza, donde se puede tomar el sol y disfrutar de unas privilegiadas vistas. Está amueblada y lista para entrar a vivir. La carpintería exterior es de aluminio, la interior es de madera y los suelos son de gres. Las vistas al mar hacen que sea un lugar único y son las protagonistas de casi toda la vivienda. Blanes es una villa marinera, romántica y floreada, de fuegos y fiestas... Tiene muy buena conexión, se encuentra a 70km de Barcelona y a 40km de Girona, Con estación de tren cerca de la autopista c32 y de la autovía N-II Dispone de licencia turística. *Impuestos y otros gastos inherentes a la compraventa no están incluidos en el precio. [IW]. ",False,True,Inmo Merkat,6,1999,False,False,True,False,False,True,True,False
101895549,https://www.idealista.com/inmueble/101895549/,Estudio en venta en calle de Sant Maximià,estudio,89200,67,0,Els Pavos,carrer de sant maximià,,,17-04-2025," Piso en venta en Blanes, Gerona. Dispone de una superficie de 70 m² distribuidos en 2 habitaciones, salón-comedor, cocina y 1 baño, lavadero. Además, tiene un balcón. El edificio cuenta con ascensor. El piso se encuentra junto a comercios, servicios básicos y paradas de autobús ademas de zonas culturalmente turísticas. Cuenta con fácil acceso a las calles principales hacia la GI-682. ¿Es lo que andabas buscando? Pasa a verlo. Te esperamos. En Aliseda Inmobiliaria tenemos la mayor oferta de inmuebles al mejor precio garantizado. Descubre nuestra amplia oferta inmobiliaria y no pierdas la oportunidad de encontrar la casa perfecta para ti.  Oportunidad de inversión: inmueble ocupado. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble. ",True,True,Aliseda inmobiliaria,1,0,False,True,False,True,False,False,False,False
106915348,https://www.idealista.com/inmueble/106915348/,Casa o chalet independiente en venta en Costa d'en Mateu,casa,500000,315,4,Centre,carrer costa d'en mateu,,,08-04-2025," Vivienda unifamiliar ubicada en la Calle Costa D'en Mateu, en el municipio de Blanes y provincia de Girona. Dispone de una superficie construida de 315 m², compuestas por recibidor, comedor, cocina, 2 baños y 4 dormitorios. Blanes es una ciudad de aproximadamente 39.000 habitantes, que dispone de todos los servicios esenciales, tales como, supermercados, restaurantes, zonas de ocio, centro de salud, hoteles Se encuentra perfectamente comunicada por carretera, cercana a GI-682. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes, lúdico, y deportivas, con infraestructuras en buen estado de conservación y mantenimiento. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodea al municipio y lo comunican con el resto de la provincia. - El inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros debidamente contratados. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encuentre (iv) en el estado físico, calidades, jurídico, urbanístico, administrativo, de licencias, de protección, de conservación y limpieza en el que se encuentre (v) al corriente de gastos e impuestos que por Ley corresponda al Vendedor y (vi) sin dotación de servicios y suministros.El Adquirente asumirá (i) la situación física y estado de conservación (ii) la situación urbanística (iii) las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble (iv) la adecuación registral y catastral del Inmueble y (v) los tramites que conlleven la obtención de la Posesión Judicial del Inmueble.La Propiedad no responderá de/l (i) estado de conservación (ii) los vicios vistos y aparentes (iii) la regularización registral o catastral (iv) las discrepancias de cabida, que pudieran existir (v) la responsabilidad en la obtención de la cédula de habitabilidad del Inmueble, salvo que en la Comunidad Autónoma donde se ubique el Inmueble sea obligatoria su entrega y (vi) cualesquiera costes, gastos, honorarios, aranceles o tributos que se deriven de lo anterior.Si a fecha de venta, la Propiedad hubiese demandado judicialmente la ocupación, podría el adquirente subrogarse en dicha demanda, no pudiendo reclamar importe alguno a la Propiedad como consecuencia de ello, salvo por los honorarios de abogados y procuradores que hasta la fecha de la transmisión se hubiesen devengado que, en cualquier caso, serán por cuenta de éste. Si en la fecha de venta, la Propiedad hubiese interpuesto una denuncia penal, que se encontrase en curso, se comunicará al Juzgado la venta, apartándose la Propiedad del procedimiento como acusación particular. El estado de ocupación y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impedirían: i) su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación ocupacional, no podría ser hipotecado, en consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas, cuya adquisición requerirá el otorgamiento de otro tipo de garantías en caso de solicitarse financiación y ii) la obtención por parte de la propiedad del certificado de eficiencia energética.El precio de venta de este Inmueble se ha determinado en base a las anteriores circunstancias, que han supuesto un menor valor del mismo, y que deberán ser expresamente aceptadas por el adquirente en la formalización de la transmisión del Inmueble. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra. ",True,True,Solvia SE,2,0,False,False,False,False,False,False,False,False
