titulo,tipo,precio,zona,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion
Casa o chalet independiente en venta en calle del Gironès,casa,950000,Centre,carrer del gironès,41.67232461226674,2.787271592976172,332,3,4,1958,True,False,True,False,True,True,True,False,True,False,01-04-2025
Casa de pueblo en venta en calle de Sant Jaume,casa,399000,Centre,carrer de sant jaume,,,200,4,3,1936,True,False,False,False,False,False,False,False,True,False,14-02-2025
Piso en venta en Illes Balears,piso,185000,Semicentre,carrer illes balears,,,122,3,2,2004,True,False,True,True,False,False,False,False,True,False,20-02-2025
Piso en venta en Or,piso,138000,Centre,carrer or,41.67481897693837,2.7927762372218945,40,1,1,1982,False,True,False,True,False,False,False,False,True,False,24-10-2024
Chalet adosado en venta en calle de Fornaca,casa,525000,Centre,carrer de fornaca,41.67431475768337,2.791160149081581,160,4,3,1973,True,False,False,False,False,False,True,False,True,False,21-02-2025
Piso en venta en Semicentre,piso,169000,Semicentre,"carrer anselm clavé,62",41.677296,2.7873864,75,2,1,1975,True,False,False,True,False,False,False,False,True,False,12-03-2025
Piso en venta en calle de Mont-Ferrant,piso,239000,Mont Ferrant - Sant Joan,carrer de mont-ferrant,,,120,3,2,1983,True,False,False,True,False,False,False,False,True,False,15-03-2025
Piso en venta en calle Eivissa,piso,145000,Els Pins,carrer eivissa,41.6667513735627,2.781301659868566,61,1,1,1990,False,False,False,True,False,True,False,False,True,False,20-03-2025
Piso en venta en calle Josep Carner,piso,90000,La Plantera,carrer josep carner,41.66837048986316,2.7776464965773737,80,3,1,1978,True,False,False,True,False,False,False,False,False,False,20-01-2025
"Casa o chalet independiente en venta en calle de la Fragata, 32",casa,2910000,Cala Sant Francesc - Santa Cristina,"carrer de la fragata, 32",41.6810060935075,2.806699751971413,658,8,5,0,True,False,True,False,True,False,False,False,True,False,02-04-2025
Casa o chalet independiente en venta en calle de la Fragata,casa,1950000,Cala Sant Francesc - Santa Cristina,carrer de la fragata,41.6810060935075,2.806699751971413,504,4,4,2013,True,False,True,False,True,True,True,False,True,False,31-03-2025
"Casa o chalet independiente en venta en calle de la Fragata, 4",casa,1950000,Cala Sant Francesc - Santa Cristina,"carrer de la fragata, 4",41.6810060935075,2.806699751971413,507,5,4,2013,False,False,True,False,True,True,True,False,True,False,23-01-2025
"Casa o chalet independiente en venta en calle de la Fragata, 31",casa,1850000,Cala Sant Francesc - Santa Cristina,"carrer de la fragata, 31",41.6810060935075,2.806699751971413,334,6,4,1982,False,False,True,False,False,True,True,False,True,False,11-03-2025
Piso en venta en calle de la Germandat,piso,148000,Semicentre,carrer de la germandat,41.67750453736317,2.7856813920816585,63,2,1,0,False,True,False,True,False,False,False,False,True,False,30-03-2025
Piso en venta en calle de la Vila de Lloret,piso,195000,Mont Ferrant - Sant Joan,carrer de la vila de lloret,41.688336306084004,2.801692710651307,90,3,2,1991,True,False,False,True,False,False,False,False,True,False,07-04-2025
Piso en venta en Els Pavos,piso,365000,Els Pavos,"carrer provença,4",41.67561905639978,2.781819036155578,173,5,2,2003,True,False,False,True,False,False,False,False,True,False,04-04-2025
Chalet adosado en venta en calle del Pare Claret,casa,399000,Els Pins,carrer del pare claret,41.66569406395908,2.784150772405055,101,4,2,1961,True,False,True,False,True,False,False,False,True,False,18-12-2024
Chalet adosado en venta en calle de Provença,casa,340000,Els Pavos,carrer de provença,41.67561905639978,2.781819036155578,128,4,2,1986,True,False,True,False,False,False,True,False,True,False,03-02-2025
Piso en venta en calle de Santa Maria,piso,125000,Semicentre,carrer de santa maria,41.679137978893806,2.784382143151209,43,1,1,0,False,True,False,True,False,False,True,False,True,False,08-04-2025
"Casa o chalet independiente en venta en calle Ferran Soldevila, 6",casa,2000000,Mont Ferrant - Sant Joan,"carrer ferran soldevila, 6",41.67821110562303,2.7952087854432226,743,5,4,2007,True,False,True,False,False,True,False,False,True,False,11-03-2025
Casa o chalet independiente en venta en Urbanitzacions,casa,525000,Urbanitzacions,carrer urbanitzacions,,,388,5,3,2012,True,False,True,False,True,True,False,False,True,False,07-04-2025
Casa o chalet independiente en venta en calle de la Fragata,casa,1950000,Cala Sant Francesc - Santa Cristina,carrer de la fragata,41.6810060935075,2.806699751971413,507,5,4,2013,False,True,True,False,False,True,True,False,True,False,07-04-2025
Chalet pareado en venta en Francesc Macia,casa,425000,Els Pins,carrer francesc macia,41.66565659399783,2.784161288171001,101,4,2,0,True,False,False,False,True,False,False,False,True,False,10-12-2024
Piso en venta en calle d'Enric Morera,piso,298000,Els Pins,carrer d'enric morera,41.661857440587944,2.782163797181824,81,3,2,1978,True,False,False,True,False,True,False,False,True,False,27-03-2025
Piso en venta en avenida Vila de Madrid,piso,210000,Els Pins,avinguda vila de madrid,41.65688477128467,2.7789646683159557,67,2,1,1981,True,False,True,True,False,True,True,False,True,False,18-03-2025
Casa o chalet independiente en venta en calle Sant Damià,casa,885000,Cala Sant Francesc - Santa Cristina,carrer sant damià,41.68554361526408,2.806842331103187,344,5,4,1991,True,False,True,False,True,True,False,False,True,False,04-12-2024
