titulo,precio,calle,latitud,longitud,metros,habitaciones,baños,año_construccion,terraza,balcon,garaje,ascensor,jardin,piscina,aire_acondicionado,ocupado,habitable,reforma,fecha_publicacion,publicacion_mes,publicacion_dia_semana,antiguedad_dias,zona_Cala Sant Francesc - Santa Cristina,zona_Centre,zona_Els Pavos,zona_Els Pins,zona_La Plantera,zona_Mont Ferrant - Sant Joan,zona_Semicentre,zona_Urbanitzacions,tipo_casa,tipo_estudio,tipo_otro,tipo_piso,precio_m2,ratio_habitaciones_baños,n_extras,zona
Casa o chalet independiente en venta en calle del Gironès,950000,carrer del gironès,41.67232461226674,2.787271592976172,332,3,4,1958.0,1,0,1,0,1,1,1,0,1,0,2025-04-01,4,1,8,0,1,0,0,0,0,0,0,1,0,0,0,2861.4457831325303,0.75,5,Centre
Casa de pueblo en venta en calle de Sant Jaume,399000,carrer de sant jaume,41.67515087937438,2.7913095396285685,200,4,3,1936.0,1,0,0,0,0,0,0,0,1,0,2025-02-14,2,4,54,0,1,0,0,0,0,0,0,1,0,0,0,1995.0,1.3333333333333333,1,Centre
Piso en venta en Illes Balears,185000,carrer illes balears,41.67915500123253,2.7856055008331873,122,3,2,2004.0,1,0,1,1,0,0,0,0,1,0,2025-02-20,2,3,48,0,0,0,0,0,0,1,0,0,0,0,1,1516.3934426229507,1.5,3,Semicentre
Piso en venta en Or,138000,carrer or,41.67481897693837,2.7927762372218945,40,1,1,1982.0,0,1,0,1,0,0,0,0,1,0,2024-10-24,10,3,167,0,1,0,0,0,0,0,0,0,0,0,1,3450.0,1.0,2,Centre
Chalet adosado en venta en calle de Fornaca,525000,carrer de fornaca,41.67431475768337,2.791160149081581,160,4,3,1973.0,1,0,0,0,0,0,1,0,1,0,2025-02-21,2,4,47,0,1,0,0,0,0,0,0,1,0,0,0,3281.25,1.3333333333333333,2,Centre
Piso en venta en Semicentre,169000,"carrer anselm clavé,62",41.677296,2.7873864,75,2,1,1975.0,1,0,0,1,0,0,0,0,1,0,2025-03-12,3,2,28,0,0,0,0,0,0,1,0,0,0,0,1,2253.3333333333335,2.0,2,Semicentre
Piso en venta en calle de Mont-Ferrant,239000,carrer de mont-ferrant,41.68005694702455,2.788394367465156,120,3,2,1983.0,1,0,0,1,0,0,0,0,1,0,2025-03-15,3,5,25,0,0,0,0,0,1,0,0,0,0,0,1,1991.6666666666667,1.5,2,Mont Ferrant - Sant Joan
Piso en venta en calle Eivissa,145000,carrer eivissa,41.6667513735627,2.781301659868566,61,1,1,1990.0,0,0,0,1,0,1,0,0,1,0,2025-03-20,3,3,20,0,0,0,1,0,0,0,0,0,0,0,1,2377.0491803278687,1.0,2,Els Pins
Piso en venta en calle Josep Carner,90000,carrer josep carner,41.66837048986316,2.7776464965773737,80,3,1,1978.0,1,0,0,1,0,0,0,0,0,0,2025-01-20,1,0,79,0,0,0,0,1,0,0,0,0,0,0,1,1125.0,3.0,2,La Plantera
"Casa o chalet independiente en venta en calle de la Fragata, 32",2910000,"carrer de la fragata, 32",41.6810060935075,2.806699751971413,658,8,5,1986.0,1,0,1,0,1,0,0,0,1,0,2025-04-02,4,2,7,1,0,0,0,0,0,0,0,1,0,0,0,4422.492401215805,1.6,3,Cala Sant Francesc - Santa Cristina
Casa o chalet independiente en venta en calle de la Fragata,1950000,carrer de la fragata,41.6810060935075,2.806699751971413,504,4,4,2013.0,1,0,1,0,1,1,1,0,1,0,2025-03-31,3,0,9,1,0,0,0,0,0,0,0,1,0,0,0,3869.0476190476193,1.0,5,Cala Sant Francesc - Santa Cristina
"Casa o chalet independiente en venta en calle de la Fragata, 4",1950000,"carrer de la fragata, 4",41.6810060935075,2.806699751971413,507,5,4,2013.0,0,0,1,0,1,1,1,0,1,0,2025-01-23,1,3,76,1,0,0,0,0,0,0,0,1,0,0,0,3846.153846153846,1.25,4,Cala Sant Francesc - Santa Cristina
"Casa o chalet independiente en venta en calle de la Fragata, 31",1850000,"carrer de la fragata, 31",41.6810060935075,2.806699751971413,334,6,4,1982.0,0,0,1,0,0,1,1,0,1,0,2025-03-11,3,1,29,1,0,0,0,0,0,0,0,1,0,0,0,5538.922155688623,1.5,3,Cala Sant Francesc - Santa Cristina
Piso en venta en calle de la Germandat,148000,carrer de la germandat,41.67750453736317,2.7856813920816585,63,2,1,1986.0,0,1,0,1,0,0,0,0,1,0,2025-03-30,3,6,10,0,0,0,0,0,0,1,0,0,0,0,1,2349.2063492063494,2.0,2,Semicentre
Piso en venta en calle de la Vila de Lloret,195000,carrer de la vila de lloret,41.688336306084,2.801692710651307,90,3,2,1991.0,1,0,0,1,0,0,0,0,1,0,2025-04-07,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2166.6666666666665,1.5,2,Mont Ferrant - Sant Joan
Piso en venta en Els Pavos,365000,"carrer provença,4",41.67561905639978,2.781819036155578,173,5,2,2003.0,1,0,0,1,0,0,0,0,1,0,2025-04-04,4,4,5,0,0,1,0,0,0,0,0,0,0,0,1,2109.826589595376,2.5,2,Els Pavos
Chalet adosado en venta en calle del Pare Claret,399000,carrer del pare claret,41.66569406395908,2.784150772405055,101,4,2,1961.0,1,0,1,0,1,0,0,0,1,0,2024-12-18,12,2,112,0,0,0,1,0,0,0,0,1,0,0,0,3950.4950495049507,2.0,3,Els Pins
Chalet adosado en venta en calle de Provença,340000,carrer de provença,41.67561905639978,2.781819036155578,128,4,2,1986.0,1,0,1,0,0,0,1,0,1,0,2025-02-03,2,0,65,0,0,1,0,0,0,0,0,1,0,0,0,2656.25,2.0,3,Els Pavos
Piso en venta en calle de Santa Maria,125000,carrer de santa maria,41.679137978893806,2.784382143151209,43,1,1,1986.0,0,1,0,1,0,0,1,0,1,0,2025-04-08,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2906.9767441860463,1.0,3,Semicentre
"Casa o chalet independiente en venta en calle Ferran Soldevila, 6",2000000,"carrer ferran soldevila, 6",41.67821110562303,2.7952087854432226,743,5,4,2007.0,1,0,1,0,0,1,0,0,1,0,2025-03-11,3,1,29,0,0,0,0,0,1,0,0,1,0,0,0,2691.790040376851,1.25,3,Mont Ferrant - Sant Joan
Casa o chalet independiente en venta en Urbanitzacions,525000,carrer urbanitzacions,41.691889674036815,2.795310049968309,388,5,3,2012.0,1,0,1,0,1,1,0,0,1,0,2025-04-07,4,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1353.0927835051546,1.6666666666666667,4,Urbanitzacions
Casa o chalet independiente en venta en calle de la Fragata,1950000,carrer de la fragata,41.6810060935075,2.806699751971413,507,5,4,2013.0,0,1,1,0,0,1,1,0,1,0,2025-04-07,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,3846.153846153846,1.25,4,Cala Sant Francesc - Santa Cristina
Chalet pareado en venta en Francesc Macia,425000,carrer francesc macia,41.66565659399783,2.784161288171001,101,4,2,1986.0,1,0,0,0,1,0,0,0,1,0,2024-12-10,12,1,120,0,0,0,1,0,0,0,0,1,0,0,0,4207.920792079208,2.0,2,Els Pins
Piso en venta en calle d'Enric Morera,298000,carrer d'enric morera,41.661857440587944,2.782163797181824,81,3,2,1978.0,1,0,0,1,0,1,0,0,1,0,2025-03-27,3,3,13,0,0,0,1,0,0,0,0,0,0,0,1,3679.0123456790125,1.5,3,Els Pins
Piso en venta en avenida Vila de Madrid,210000,avinguda vila de madrid,41.65688477128467,2.7789646683159557,67,2,1,1981.0,1,0,1,1,0,1,1,0,1,0,2025-03-18,3,1,22,0,0,0,1,0,0,0,0,0,0,0,1,3134.3283582089553,2.0,5,Els Pins
Casa o chalet independiente en venta en calle Sant Damià,885000,carrer sant damià,41.68554361526408,2.806842331103187,344,5,4,1991.0,1,0,1,0,1,1,0,0,1,0,2024-12-04,12,2,126,1,0,0,0,0,0,0,0,1,0,0,0,2572.6744186046512,1.25,4,Cala Sant Francesc - Santa Cristina
Piso en venta en Cala Sant Francesc - Santa Cristina,598000,carrer de sant francesc,41.68812440873454,2.8021213149376165,144,4,2,1981.0,0,1,1,0,0,1,1,0,1,0,2025-03-28,3,4,12,1,0,0,0,0,0,0,0,0,0,0,1,4152.777777777777,2.0,4,Cala Sant Francesc - Santa Cristina
Casa o chalet en venta en calle Petit de Raval,650000,carrer petit de raval,41.67651690114528,2.7922850047117125,321,4,4,1900.0,1,0,1,0,0,0,1,0,1,0,2024-10-30,10,2,161,0,1,0,0,0,0,0,0,1,0,0,0,2024.9221183800623,1.0,3,Centre
Piso en venta en calle d'Ignasi Iglesias,315000,carrer d'ignasi iglesias,41.6608896929472,2.7817487881108915,96,3,2,1978.0,1,0,0,1,0,1,0,0,1,0,2024-07-15,7,0,268,0,0,0,1,0,0,0,0,0,0,0,1,3281.25,1.5,3,Els Pins
Dúplex en venta en calle de Sant Vicenç Ferrer,365000,carrer de sant vicenç ferrer,41.67234550355655,2.7792983408457865,158,5,2,2003.0,1,0,1,1,0,0,0,0,1,0,2025-04-03,4,3,6,0,0,1,0,0,0,0,0,0,0,0,1,2310.1265822784812,2.5,3,Els Pavos
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,1000000,carrer de sant francesc,41.68812440873454,2.8021213149376165,299,5,3,1984.0,1,0,1,0,1,1,1,0,1,0,2025-02-06,2,3,62,1,0,0,0,0,0,0,0,1,0,0,0,3344.4816053511704,1.6666666666666667,5,Cala Sant Francesc - Santa Cristina
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,2910000,carrer de sant francesc,41.68812440873454,2.8021213149376165,658,8,5,1980.0,1,0,1,0,1,1,0,0,1,0,2025-02-03,2,0,65,1,0,0,0,0,0,0,0,1,0,0,0,4422.492401215805,1.6,4,Cala Sant Francesc - Santa Cristina
Piso en venta en Els Pins,240000,carrer vila de paris,41.66407367300141,2.783408558724116,90,2,1,1986.0,1,0,0,1,0,1,0,0,1,0,2025-04-01,4,1,8,0,0,0,1,0,0,0,0,0,0,0,1,2666.6666666666665,2.0,3,Els Pins
Casa o chalet independiente en venta en Urbanitzacions,525000,carrer urbanitzacions,41.691889674036815,2.795310049968309,354,5,3,2012.0,1,0,1,0,1,1,0,0,1,0,2025-04-02,4,2,7,0,0,0,0,0,0,0,1,1,0,0,0,1483.050847457627,1.6666666666666667,4,Urbanitzacions
Piso en venta en paseo de s'Abanell,277000,passeig de s'abanell,41.6690566,2.78753435,70,3,2,1986.0,1,0,0,1,0,0,1,0,1,0,2025-04-04,4,4,5,0,0,0,1,0,0,0,0,0,0,0,1,3957.1428571428573,1.5,3,Els Pins
Chalet adosado en venta en Centre,650000,carrer ample,41.67454693196272,2.791958077322335,321,4,4,1986.0,0,0,1,0,0,0,0,0,1,0,2025-04-01,4,1,8,0,1,0,0,0,0,0,0,1,0,0,0,2024.9221183800623,1.0,1,Centre
Casa o chalet en venta en Mont Ferrant - Sant Joan,599000,carrer mas vaixeller,41.67847922230874,2.779174254327162,278,4,3,1998.0,1,0,1,0,1,1,1,0,1,0,2024-05-13,5,0,331,0,0,0,0,0,1,0,0,1,0,0,0,2154.6762589928057,1.3333333333333333,5,Mont Ferrant - Sant Joan
Piso en venta en calle del Pou Nou,158000,carrer del pou nou,41.673604742372106,2.7885063242696617,55,2,1,1964.0,0,0,0,1,0,0,1,0,1,0,2025-03-12,3,2,28,0,1,0,0,0,0,0,0,0,0,0,1,2872.7272727272725,2.0,2,Centre
Casa o chalet en venta en calle del Bellaire,325000,carrer del bellaire,41.6745209,2.7906187,142,3,3,1986.0,0,1,0,0,0,0,1,0,1,0,2024-10-24,10,3,167,0,1,0,0,0,0,0,0,1,0,0,0,2288.7323943661972,1.0,2,Centre
Piso en venta en Els Pavos,189000,"carrer provença,4",41.67561905639978,2.781819036155578,97,3,1,1980.0,0,0,0,1,0,0,0,0,1,0,2025-04-04,4,4,5,0,0,1,0,0,0,0,0,0,0,0,1,1948.4536082474226,3.0,1,Els Pavos
Piso en venta en calle de Sant Bonós,179000,carrer de sant bonós,41.673397191328206,2.7888824786952617,67,2,1,1986.0,1,0,0,1,0,0,0,0,1,0,2024-10-30,10,2,161,0,1,0,0,0,0,0,0,0,0,0,1,2671.6417910447763,2.0,2,Centre
Piso en venta en calle de Sant Joan,179000,carrer de sant joan,41.67416835194289,2.789374932838504,52,2,1,1915.0,0,0,1,1,0,0,1,0,1,0,2025-03-18,3,1,22,0,1,0,0,0,0,0,0,0,0,0,1,3442.3076923076924,2.0,3,Centre
Piso en venta en Els Pins,279000,carrer vila de paris,41.66407367300141,2.783408558724116,58,3,2,1986.0,0,0,0,1,0,0,1,0,1,0,2025-04-01,4,1,8,0,0,0,1,0,0,0,0,0,0,0,1,4810.3448275862065,1.5,2,Els Pins
Piso en venta en Els Pavos,215000,"carrer provença,4",41.67561905639978,2.781819036155578,80,2,2,2025.0,1,0,0,1,0,0,1,0,1,0,2025-04-05,4,5,4,0,0,1,0,0,0,0,0,0,0,0,1,2687.5,1.0,3,Els Pavos
Casa o chalet independiente en venta en Cala Sant Francesc - Santa Cristina,695000,carrer de sant francesc,41.68565600269289,2.80189424883582,260,4,3,2001.0,1,0,1,0,1,1,1,0,1,0,2025-04-07,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2673.076923076923,1.3333333333333333,5,Cala Sant Francesc - Santa Cristina
Casa o chalet en venta en calle de les Escales de l'Aigua,108800,carrer de les escales de l'aigua,41.6698203,2.7830408,174,3,1,1986.0,0,0,0,0,0,0,0,1,1,0,2025-04-04,4,4,5,0,0,1,0,0,0,0,0,1,0,0,0,625.2873563218391,3.0,0,Els Pavos
Piso en venta en Semicentre,207900,"carrer anselm clavé,62",41.677296,2.7873864,112,3,2,1986.0,0,1,0,1,0,0,1,0,1,0,2025-03-17,3,0,23,0,0,0,0,0,0,1,0,0,0,0,1,1856.25,1.5,3,Semicentre
